,Title,Type,Price,Location,Bathrooms,Size,Purpose,Bedrooms,Property Added
10,Apartment Available For Sale In Bokhari Commercial DHA PHASE Vi,Flat,PKR1.8 Crore,"DHA Defence, Karachi, Sindh",3,128 Sq. Yd.,For Sale,3,1 day ago
11,"3Bed DDL 125sq Yd Villa FOR SALE At ALI BLOCK All Amenities Nearby Including MOSQUE, General Store & Parks",House,PKR1.2 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,1 day ago
12,Corner West Open Near Imtiaz Masjid College Army Housing Facing Flat For Sale,House,PKR2.55 Crore,"DHA Defence, Karachi, Sindh",4,200 Sq. Yd.,For Sale,4,1 day ago
13,Clifton 250 Yard House For Sale Fully Renovated Furnished Bungalow,House,PKR8 Crore,"Clifton, Karachi, Sindh",6,250 Sq. Yd.,For Sale,7,1 day ago
14,1 Bedroom Lounge Apartment Available For Sale,Flat,PKR55 Lakh,"Scheme 33, Karachi, Sindh",1,56 Sq. Yd.,For Sale,1,1 day ago
15,Chance Deal Bungalow Sale 500 SQ YARD,House,PKR9.5 Crore,"DHA Defence, Karachi, Sindh",4,500 Sq. Yd.,For Sale,4,1 day ago
16,1000 Yard Beautiful And Elegant House For Sale,House,PKR19.99 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,1 day ago
17,Apartment For Sale,Flat,PKR2.4 Crore,"Clifton, Karachi, Sindh",2,133 Sq. Yd.,For Sale,2,1 day ago
18,BRAND NEW LUXURY BUNGALOW IN PHASE 8 ZONE A MOST PRIME LOCATION,House,PKR19.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
19,Chance Deal Town House Sale Block 7,House,PKR9.5 Crore,"Clifton, Karachi, Sindh",4,400 Sq. Yd.,For Sale,4,1 day ago
20,Apartment Available For Sale In Rahat Commercial DHA PHASE Vi,Flat,PKR2.5 Crore,"DHA Defence, Karachi, Sindh",3,222 Sq. Yd.,For Sale,3,1 day ago
21,100yard architect designer house for sale,House,PKR4.65 Crore,"DHA Defence, Karachi, Sindh",5,100 Sq. Yd.,For Sale,5,1 day ago
22,2 BED DD FLAT WITH RENTAL INCOME,Flat,PKR65 Lakh,"Gillani Railway Station, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,1 day ago
23,500 Yards Bungalow For Sale In Phase II-Ext DHA Karachi,House,PKR10.25 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 day ago
24,"500 Sq. Yds. Old Maintained Bungalow For Sale At Khayaban-E-Bukhari, DHA Phase 6",House,PKR9.5 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,4,1 day ago
25,Prime Location 4200 Square Feet Flat In Stunning Navy Housing Scheme Karsaz Is Available For sale,Flat,PKR9.4 Crore,"Navy Housing Scheme Karsaz, Karachi, Sindh",6,467 Sq. Yd.,For Sale,5,1 day ago
26,To Sale You Can Find Spacious Flat In Askari 5 - Sector J,Flat,PKR4.15 Crore,"Cantt, Karachi, Sindh",3,300 Sq. Yd.,For Sale,3,1 day ago
27,Prime Location 2700 Square Feet Flat For Sale In Askari 5 - Sector J,Flat,PKR4.15 Crore,"Cantt, Karachi, Sindh",4,300 Sq. Yd.,For Sale,4,1 day ago
28,500 yards Modren Brand New Bungalow available for sale,House,PKR15.75 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
29,Ultra Luxury Brand New Good Location 272sq Yds Villa Available For Sale,House,PKR2.8 Crore,"Bahria Town Karachi, Karachi, Sindh",6,272 Sq. Yd.,For Sale,5,2 days ago
30,500 Sq. Yards Used House For Sale,House,PKR9.85 Crore,"Malir, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 day ago
31,HOUSE FOR SALE,House,PKR8.1 Crore,"Malir, Karachi, Sindh",5,350 Sq. Yd.,For Sale,4,1 day ago
32,3 Bedrooms Luxury Villa For Sale In Bahria Town Precinct 10-A,House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
33,3 Bedrooms Luxury Ali Block Villa For Sale In Bahria Town Precinct 12,House,PKR1.25 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,1 day ago
34,Brand New IH House Is Available For Sale,House,PKR10.5 Crore,"Malir, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 day ago
35,"READY TO MOVE 2250sq. ft 3Bed Luxury Apartment at Tower-4, 6 & 7 Near Main Entrance of Bahria Town Karachi FOR SALE",Flat,PKR1.55 Crore,"Bahria Town Karachi, Karachi, Sindh",3,250 Sq. Yd.,For Sale,3,1 day ago
36,READY TO MOVE 2950sq ft 4Bed Luxury Apartment at Tower-8 Near Entrance of Bahria Town Karachi FOR SALE,Flat,PKR2.2 Crore,"Bahria Town Karachi, Karachi, Sindh",4,328 Sq. Yd.,For Sale,4,1 day ago
37,3 Bed Apartment For Sale In Ittehad Commercial DHA,Flat,PKR2 Crore,"DHA Defence, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,1 day ago
38,BUNGALOW FOR SALE,House,PKR15 Crore,"DHA Defence, Karachi, Sindh",-,650 Sq. Yd.,For Sale,-,1 day ago
39,BRAND NEW 500YDS BUNGALOW FOR SALE IN DHA PHASE 8,House,PKR22 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
40,Bungalow For Sale,House,PKR18 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,5,1 day ago
41,Darakshan Villa For Sale (Renovated),House,PKR5.5 Crore,"DHA Defence, Karachi, Sindh",4,310 Sq. Yd.,For Sale,3,1 day ago
42,"1000 Sq Yds Brand New Super Luxurious Bungalow For Sale At Khayaban-E-Iqbal, Dha Phase 8",House,PKR35 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,1 day ago
43,"500 Sq. Yds. Brand New Bungalow For Sale At Khayaban-E-Roomi, DHA Phase 8",House,PKR16.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
44,500 Sq. Yds. Brand New Super Luxurious Bungalow For Sale At Prime Location Of DHA Phase 5,House,PKR18.5 Crore,"DHA Defence, Karachi, Sindh",6,550 Sq. Yd.,For Sale,6,1 day ago
45,"500 Sq. Yds. Architect Designed Brand New Bungalow For Sale At Khayaban-E-Roomi, DHA Phase 8",House,PKR17.75 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
46,"Well Maintained Super Luxurious Partial Sea Facing Studio Apartment For Sale At Emaar Reef Towers, DHA Phase 8",Flat,PKR5.25 Crore,"DHA Defence, Karachi, Sindh",2,139 Sq. Yd.,For Sale,-,1 day ago
47,"600 Sq. Yds. Brand New Super Luxury Bungalow For Sale At Khayaban-E-Qasim, DHA Phase 8",House,PKR25 Crore,"DHA Defence, Karachi, Sindh",6,600 Sq. Yd.,For Sale,6,1 day ago
48,500 Sq Yds. Brand New Luxurious Bungalow For Sale At Khayaban-E-Hilal DHA Phase 6,House,PKR15 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
49,400 Sq Yd Brand New Bungalow With Basement For Sale In Khayaban-E-Roomi DHA Phase 8,House,PKR17 Crore,"DHA Defence, Karachi, Sindh",6,400 Sq. Yd.,For Sale,6,1 day ago
50,Brand New 3 Bed DD Apartment Available For Sale In Gulshan Iqbal Block 10 Karachi,Flat,PKR1.5 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,161 Sq. Yd.,For Sale,3,2 days ago
51,"Precinct 19, 950sq Ft, 2BED Apartment Available For Sale - Good Location",Flat,PKR68 Lakh,"Bahria Town Karachi, Karachi, Sindh",-,106 Sq. Yd.,For Sale,2,2 days ago
52,125 Square Yards House Up For Sale In Bahria Town Karachi Precinct 12 ( Ali Block ),House,PKR1.2 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 days ago
53,Brand New House For Sale Purpose,House,PKR6.3 Crore,"Cantt, Karachi, Sindh",6,375 Sq. Yd.,For Sale,5,2 days ago
54,Flat For Sale,Flat,PKR3.8 Crore,"Cantt, Karachi, Sindh",3,267 Sq. Yd.,For Sale,3,2 days ago
55,4 Bedrooms Luxury Sports City Villa For Sale In Bahria Town Precinct 35,House,PKR1.9 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,1 day ago
56,125 SQ YARDS Modern Villa FOR SALE In Bahria Town Karachi,House,PKR1.75 Crore,PKR25 Lakh,PKR3 Lakh,50 Months,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.
57,"Defence Raya
 - 500 Yards Bungalow Available Most Prime Location",House,PKR8.75 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
58,500 SQ. YDS BAHRIA PARADISE MODERN LUXURY VILLA AVAILABLE FOR SALE,House,PKR4.05 Crore,"Bahria Town Karachi, Karachi, Sindh",5,500 Sq. Yd.,For Sale,4,1 day ago
59,2 BED MODERN LUXURY BAHRIA APARTMENTS AVAILABLE FOR SALE,Flat,PKR74 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,1 day ago
60,READY TO MOVE 235sq yd 3Bed DDL Villas FOR SALE at Precinct-27 Close to Jinnah Avenue and London Bridge,House,PKR1.42 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,1 day ago
61,"500 Sq Yds Brand New Super Luxurious Bungalow For Sale At Khayaban-E-Bukhari Streets, Dha Phase 6",House,PKR17.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
62,House For Sale,House,PKR16.5 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,9,1 day ago
63,152 SQ YARDS HOUSE FOR SALE PRECINCT-11A Bahria Town Karachi.,House,PKR1.47 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,1 day ago
64,125 SQ YARDS HOUSE FOR SALE In Bahria Town Karachi.,House,PKR1.75 Crore,PKR25 Lakh,PKR3 Lakh,50 Months,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.
65,3 Bedrooms Luxury Villa For Sale In Bahria Town Precinct 27,House,PKR1.45 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,1 day ago
66,KHAYABAN E BADAR STREET BUNGALOW FOR SALE,House,PKR12 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
67,"500 Sq. Yds. Well Maintained Proper 2 Unit Bungalow For Sale At Khayaban-E-Sehar, DHA Phase 6",House,PKR11 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
68,"500 Sq. Yds. Slightly Used Luxurious Bungalow For Sale At Khayaban-E-Bukhari, DHA Phase 8",House,PKR13 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
69,"500 Sq. Yds. Brand New 2 Units House For Sale At Main Khayaban-E-Shujaat, DHA Phase 8",House,PKR14 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
70,"1000 Sq. Yds. Brand New Bungalow With Basement & Pool For Sale At Khayaban-E-Ittihad, DHA Phase 8",House,PKR38 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,8,1 day ago
71,"500 Sq. Yds. Brand New Owner Built Luxurious Bungalow For Sale At Khayaban-E-Badar, DHA Phase 6",House,PKR18 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
72,"500 Sq. Yds. Brand New Luxurious Bungalow For Sale At Khayaban-E-Muslim, DHA Phase 6",House,PKR22 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
73,"500 Sq Yds Brand New Super Luxurious Bungalow With Basement For Sale At Khayaban-E-Hilal, DHA Phase 6",House,PKR18.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
74,"500 Sq. Yds. Brand New Super Luxurious Bungalow With Pool & Basement For Sale At Khayaban-E-Faisal, DHA Phase 8",House,PKR23 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
75,500 Yards Brand New Bungalow With Basement Urgent Sale,House,PKR14 Crore,"DHA Defence, Karachi, Sindh",-,500 Sq. Yd.,For Sale,6,2 days ago
76,Villa Is Available For Sale In Bahria Town Karachi Precicnt 10 -A,House,PKR1.65 Crore,"Bahria Town Karachi, Karachi, Sindh",4,200 Sq. Yd.,For Sale,3,2 days ago
77,Brand New Villa Available for Sale In Ali Block Precinct 12 Bahria Town Karachi,House,PKR1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,2 days ago
78,On Excellent Location In Bahria Town Karachi 875 Square Feet Flat For sale,Flat,PKR96 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,97 Sq. Yd.,For Sale,2,2 days ago
79,Reserve A Prime Location House Of 125 Square Yards Now In Bahria Town Karachi,House,PKR75 Lakh,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,3,2 days ago
80,Ready-To-Move Luxury A++ Construction 272 Square Yards Villa For Sale In Precinct 8 Near Bahria Heights,House,PKR2.7 Crore,"Bahria Town Karachi, Karachi, Sindh",4,272 Sq. Yd.,For Sale,4,1 day ago
81,HARMAIN ROYAL RESIDENCY APARTMENT FOR SALE,Flat,PKR1.8 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,172 Sq. Yd.,For Sale,3,1 day ago
82,Great Location 240 Sq. Yards Bungalow In Meeruth Cooperative Housing Society Sector 9A,House,PKR2.95 Crore,"Scheme 33, Karachi, Sindh",4,240 Sq. Yd.,For Sale,3,1 day ago
83,Prime Location Upper Portion Of 120 Square Yards For sale In Federal B Area - Block 15,Upper Portion,PKR1.54 Crore,"Federal B Area, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,1 day ago
84,Ready To sale A Prime Location Upper Portion 240 Square Yards In Gulshan-e-Iqbal - Block 1 Karachi,Upper Portion,PKR2.85 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,1 day ago
85,"500 Sq. Yds. Brand New Super Luxurious Bungalow With Pool &Amp; Basement For Sale At Khayaban-E-Faisal, DHA Phase 8",House,PKR22.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
86,"1000 Sq. Yds. Fully Renovated Luxurious Bungalow For Sale At Khayaban-E-Muhafiz, DHA Phase 8",House,PKR20 Crore,"DHA Defence, Karachi, Sindh",-,"1,000 Sq. Yd.",For Sale,7,1 day ago
87,Commercial Apartments For Sale,Flat,PKR3.9 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,244 Sq. Yd.,For Sale,3,1 day ago
88,Flat Located In Shahra-e-Faisal Is Available For sale,Flat,PKR5.2 Crore,"Shahra-e-Faisal, Karachi, Sindh",4,267 Sq. Yd.,For Sale,3,1 day ago
89,Reserve A Flat Now In The Court Regency,Flat,PKR3.25 Crore,"Dalmia Cement Factory Road, Karachi, Sindh",4,220 Sq. Yd.,For Sale,3,1 day ago
90,Please Read Complete Details Below:,House,PKR2.85 Crore,"Malir, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,1 day ago
91,OLD HOUSE DOUBLE STORY 120SQURE YARDS FOR SALE,House,PKR2 Crore,"Federal B Area, Karachi, Sindh",4,120 Sq. Yd.,For Sale,4,1 day ago
92,"500 Sq. Yds. Well Maintained Bungalow For Sale At Prime Location Of Khayaban-E-Sehar, DHA Phase 7",House,PKR11.25 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
93,"500 Sq. Yds. Well Maintained Super Luxurious Bungalow For Sale At Khayaban-E-Mujahid, DHA Phase 5",House,PKR11 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,4,1 day ago
94,"500 Sq. Yds. Brand New Modern & Luxurious Semi-Furnished Bungalow For Sale At Prime Location Of Khayaban-E-Qasim, DHA Phase 8",House,PKR21 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
95,Clifton block 4 three bedrooms Apartment for sale,Flat,PKR2.25 Crore,"Clifton, Karachi, Sindh",3,183 Sq. Yd.,For Sale,3,1 day ago
96,Ground Plus One Corner Near Ewan E Tijarat Hospital,House,PKR2.85 Crore,"North Karachi, Karachi, Sindh",4,120 Sq. Yd.,For Sale,4,1 day ago
97,Ground Plus Two Full New Renovated,House,PKR2.85 Crore,"North Karachi, Karachi, Sindh",6,120 Sq. Yd.,For Sale,6,1 day ago
98,272 SQ. YDS PRECINCT 08 CORNER BRAND NEW LUXURY VILLA AVAILABLE FOR SALE,House,PKR3.7 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,4,1 day ago
99,Double Storey Full New Renovated House For Sale,House,PKR2.25 Crore,"North Karachi, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,1 day ago
100,Investors Should Sale This On Excellent Location House Located Ideally In Bahria Town Karachi,House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",6,250 Sq. Yd.,For Sale,5,2 days ago
101,Buying A Facing Park Flat In Bahria Heights Karachi?,Flat,PKR95 Lakh,"Bahria Town Karachi, Karachi, Sindh",4,122 Sq. Yd.,For Sale,3,2 days ago
102,Prime Location Property For sale In Bahria Heights Karachi Is Available Under Rs. 6500000,Flat,PKR65 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,122 Sq. Yd.,For Sale,2,2 days ago
103,Prime Location 200 Square Yards House Is Available For Sale In Bahria Town - Precinct 11-A,House,PKR1.75 Crore,"Bahria Town Karachi, Karachi, Sindh",4,200 Sq. Yd.,For Sale,3,2 days ago
104,"Precint 4, 500 Sq Yds Villa With Basement At Good Location Of Bahria Town Karachi",House,PKR5.5 Crore,"Bahria Town Karachi, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,3 days ago
105,Prime Location Federal B Area - Block 15 Upper Portion Sized 120 Square Yards For Sale,Upper Portion,PKR1.3 Crore,"Federal B Area, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,1 day ago
106,Corner Upper Portion Sized 120 Square Yards In Federal B Area - Block 8,Upper Portion,PKR1.1 Crore,"Federal B Area, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,1 day ago
107,Ideally Located Prime Location House Of 240 Square Yards Is Available For Sale In KN Gohar Green City,House,PKR5.5 Crore,"KN Gohar Green City, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,1 day ago
108,4 Bed 150 Yard Bungalow With Basement,House,PKR6 Crore,"DHA Defence, Karachi, Sindh",5,150 Sq. Yd.,For Sale,4,1 day ago
109,Prime Location 400 Square Yards House In Karachi Is Available For Sale,House,PKR4.6 Crore,"Scheme 33, Karachi, Sindh",6,400 Sq. Yd.,For Sale,6,1 day ago
110,"500 Sq. Yds. Brand New Luxurious Bungalow With Basement For Sale At Khayaban-E-Bukhari, DHA Phase 6",House,PKR14.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
111,ALI BLOCK 4-BEDROOM LUXURY VILLA FOR SALE A++ CONSTRUCTION OWNER BUILD,House,PKR1.4 Crore,"Bahria Town Karachi, Karachi, Sindh",5,125 Sq. Yd.,For Sale,4,1 day ago
112,House Available For Sale In Model Colony Near Malir Cantt,House,PKR2.6 Crore,"Malir, Karachi, Sindh",6,135 Sq. Yd.,For Sale,6,1 day ago
113,FULL RENOVATED PORTION 2ND FLOOR 240 SQURE YARDS FOR SALE,Upper Portion,PKR2.3 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,1 day ago
114,For Residential Portion,Lower Portion,PKR2.3 Crore,"Jamshed Town, Karachi, Sindh",2,144 Sq. Yd.,For Sale,2,1 day ago
115,"3 Bed DDL 200 Sq Yd Villa FOR SALE. All Amenities Nearby Including MOSQUE, General Store & Parks",House,PKR1.71 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
116,New Flats For Sale,Flat,PKR79 Lakh,"Gadap Town, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,1 day ago
117,Chance deal emaar appartment for sale,Flat,PKR7 Crore,"DHA Defence, Karachi, Sindh",4,278 Sq. Yd.,For Sale,3,1 day ago
118,2 Bed Apartment Is Available For Sale In Bahria Town Karachi,Flat,PKR66.4 Lakh,PKR19.92 Lakh,PKR1.29 Lakh,36 Months,"Bahria Town Karachi, Karachi, Sindh",2,74 Sq. Yd.
119,DHA Phase 2 - Luxury 5 Rooms Apartment,Flat,PKR2.5 Crore,"DHA Defence, Karachi, Sindh",5,194 Sq. Yd.,For Sale,5,1 day ago
120,Clifton Block 9 - Luxury Apartment 3 Bedrooms,Flat,PKR2.7 Crore,"Clifton, Karachi, Sindh",4,300 Sq. Yd.,For Sale,3,1 day ago
121,"3 Bedroom Apartment In Bath Island, Karachi",Flat,PKR7 Crore,"Bath Island, Karachi, Sindh",3,244 Sq. Yd.,For Sale,3,2 hours ago
122,"4 Bedroom Apartment In Block-8, Clifton",Flat,PKR10.5 Crore,"Clifton, Karachi, Sindh",4,311 Sq. Yd.,For Sale,4,2 hours ago
123,West open Flat Available For Sale In Askari 5 - Sector J,Flat,PKR3.95 Crore,"Cantt, Karachi, Sindh",4,306 Sq. Yd.,For Sale,3,48 minutes ago
124,Brand new 3Bed lounge Flat for Sale In Gohar Complex,Flat,PKR1.05 Crore,"Malir, Karachi, Sindh",3,117 Sq. Yd.,For Sale,2,1 day ago
125,READY TO MOVE 955sq ft 2Bed Lounge Flat FOR SALE Outer Corner Apartment with AMAZING VIEW,Flat,PKR7.3 Crore,"Bahria Town Karachi, Karachi, Sindh",2,950 Sq. Yd.,For Sale,2,3 days ago
126,"3 Bed DDL 200 Sq Yd Villa FOR SALE All Amenities Nearby Including Parks, Mosques And Gallery",House,PKR1.64 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,3 days ago
127,READY TO MOVE 235sq yd 3Bed DDL Villas FOR SALE at Precinct-27 Close to Jinnah Avenue and London Bridge,House,PKR1.42 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,3 days ago
128,Prime Location House For Sale In Rs. 16000000,House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,3 days ago
129,Highly-Desirable Prime Location 950 Square Feet Flat Available In Bahria Town - Precinct 19,Flat,PKR58 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,3 days ago
130,Get In Touch Now To Buy A Prime Location 120 Square Yards House In Karachi,House,PKR2.1 Crore,"Scheme 33, Karachi, Sindh",6,120 Sq. Yd.,For Sale,6,1 day ago
131,Ready To Buy A Prime Location House 240 Square Yards In Saadi Town,House,PKR3 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,1 day ago
132,A Prime Location House Of 120 Square Yards In Karachi,House,PKR2.25 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,1 day ago
133,Duplex Apartment In Fatima Golf Residency,Flat,PKR2 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",4,267 Sq. Yd.,For Sale,5,1 day ago
134,New House Is Available For Sale,House,PKR4.3 Crore,"Scheme 33, Karachi, Sindh",6,600 Sq. Yd.,For Sale,7,1 day ago
135,"500 Sq. Yards. Newly Renovated Proper 2 Unit Bungalow For Sale At Khayaban-E-Muhafiz, DHA Phase 6",House,PKR12.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
136,1080 Sq Yds Fully Renovated Bungalow For Sale At Prime Location Of DHA Phase 5,House,PKR25 Crore,"DHA Defence, Karachi, Sindh",6,"1,080 Sq. Yd.",For Sale,6,1 day ago
137,This Is Your Chance To Buy Corner Flat In Karachi,Flat,PKR82 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,89 Sq. Yd.,For Sale,2,1 day ago
138,3 Bed DDL 152 Sq Yd Villa FOR SALE. All Amenities Nearby Including MOSQUE General Store & Parks,House,PKR1.25 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,1 day ago
139,Brand New Apartment For Sale at Gulzar e Hijri,Flat,PKR1.15 Crore,"Scheme 33, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,1 hour ago
140,Saima Presidency - 3 Bed DD Corner Flat For Sell,Flat,PKR2.05 Crore,"Cantt, Karachi, Sindh",3,156 Sq. Yd.,For Sale,3,1 day ago
141,600 Yards Beautiful Banglow - Tipu Sultan- G plus on- sell,House,PKR10.95 Crore,"Malir, Karachi, Sindh",-,600 Sq. Yd.,For Sale,8,1 day ago
